ACCIDENT_NO,SEVERITY,LGA_NAME,LATITUDE,LONGITUDE
T20120000012,severe,monash,-37.903541,145.161404
T20120000013,severe,kingston,-37.93594,145.098848
T20120000032,severe,port phillip,-37.841733,144.953222
T20120000043,severe,casey,-38.12147,145.28836
T20120000053,severe,kingston,-37.979908,145.142676
T20120000054,severe,kingston,-37.97228,145.111686
T20120000059,severe,casey,-38.139211,145.303999
T20120000063,severe,boroondara,-37.791532,145.094621
T20120000086,severe,port phillip,-37.831658,144.964764
T20130002969,severe,port phillip,-37.842991,144.937879
T20120000602,severe,moreland,-37.765766,144.972732
T20120000097,severe,port phillip,-37.83228,144.9718
T20120000098,severe,cardinia,-37.953778,145.564162
T20120000141,severe,casey,-38.033727,145.335622
T20120000090,severe,casey,-37.959479,145.27365
T20120000900,severe,whitehorse,-37.817673,145.156255
T20120003216,severe,maribyrnong,-37.780169,144.855917
T20120000091,severe,hume,-37.569027,144.724256
T20120007866,severe,kingston,-38.047814,145.113801
T20120000165,severe,hume,-37.575891,144.925186
T20120000167,fatal,kingston,-37.982267,145.072021
T20120000169,severe,port phillip,-37.848931,144.956258
T20120000174,severe,casey,-37.96627,145.233919
T20120000278,severe,darebin,-37.729395,144.991546
T20120000155,severe,monash,-37.920999,145.196293
T20120000377,severe,stonnington,-37.846621,144.994185
T20120000139,severe,melbourne,-37.792579,144.971349
T20120000124,severe,moonee valley,-37.775129,144.928171
T20120000142,severe,kingston,-38.021963,145.124274
T20120000131,severe,casey,-37.974344,145.253719
T20120004791,severe,kingston,-37.923998,145.082476
T20120007314,severe,manningham,-37.793909,145.125965
T20120000133,severe,brimbank,-37.784501,144.819019
T20120000186,severe,whitehorse,-37.852324,145.148705
T20120000322,severe,maribyrnong,-37.775032,144.881098
T20120000190,severe,monash,-37.86431,145.168798
T20120000195,severe,stonnington,-37.840591,145.004698
T20120000415,severe,melbourne,-37.808158,144.968743
T20120000211,severe,stonnington,-37.878366,145.067881
T20120000214,severe,manningham,-37.767222,145.1424
T20120000216,severe,brimbank,-37.751591,144.832637
T20120000917,severe,brimbank,-37.741335,144.798216
T20120000231,severe,port phillip,-37.843835,144.957121
T20120000258,severe,yarra,-37.799444,144.988968
T20120000263,severe,yarra,-37.807523,144.991714
T20120000251,severe,knox,-37.858059,145.259756
T20120000460,severe,melbourne,-37.8177,144.967551
T20120000245,severe,yarra,-37.810093,144.99604
T20120000698,severe,yarra,-37.79353,144.985206
T20120000328,severe,moonee valley,-37.756947,144.898526
T20120000296,severe,melbourne,-37.80789,144.957949
T20120001747,severe,yarra,-37.800312,144.982821
T20120000306,severe,moreland,-37.76483,144.963446
T20120000314,severe,boroondara,-37.821391,145.058593
T20120000338,severe,melbourne,-37.824477,144.983053
T20120000650,severe,melbourne,-37.801813,144.957447
T20120000390,severe,moreland,-37.707091,144.889876
T20120001190,severe,brimbank,-37.693576,144.756499
T20120001550,severe,kingston,-38.042219,145.110662
T20120002355,severe,port phillip,-37.850715,144.978453
T20120002415,severe,yarra,-37.7919,144.983043
T20120000428,severe,melbourne,-37.800373,144.91196
T20120000461,severe,hume,-37.68493,144.894782
T20120007894,severe,casey,-38.030259,145.336467
T20120000334,severe,melbourne,-37.821633,144.930714
T20120000410,severe,casey,-38.035668,145.328194
T20120000411,severe,yarra,-37.819504,145.008292
T20120000560,severe,cardinia,-38.227423,145.640035
T20120000430,severe,moreland,-37.706253,144.916261
T20120000434,severe,cardinia,-38.07961,145.405318
T20120000925,severe,yarra,-37.819504,145.008292
T20120000944,severe,yarra,-37.819671,145.009891
T20120000457,severe,knox,-37.841268,145.265037
T20120000417,severe,yarra,-37.779077,144.978293
T20120000475,severe,moreland,-37.734638,144.968672
T20120004943,severe,cardinia,-38.237867,145.710067
T20120000527,severe,monash,-37.859769,145.150754
T20120000529,severe,monash,-37.932532,145.156219
T20120027417,severe,casey,-38.026066,145.306684
T20120000537,severe,melbourne,-37.811387,144.965331
T20120000540,severe,port phillip,-37.867972,144.98727
T20120000541,severe,moonee valley,-37.757221,144.918697
T20120000579,severe,melbourne,-37.808429,144.975837
T20120000485,severe,melbourne,-37.810133,144.949987
T20120000615,severe,knox,-37.84992,145.255558
T20120000486,severe,brimbank,-37.78629,144.827193
T20120000487,severe,melbourne,-37.799717,144.957556
T20120000493,severe,maribyrnong,-37.794143,144.899258
T20120013279,severe,cardinia,-38.271618,145.548121
T20120000506,severe,melbourne,-37.81939,144.957106
T20120001484,severe,port phillip,-37.847039,144.971682
T20120000544,severe,maribyrnong,-37.799501,144.89728
T20120000545,severe,monash,-37.93232,145.1889
T20120002646,severe,melbourne,-37.789404,144.942166
T20120002974,severe,melbourne,-37.796376,144.939968
T20120000568,severe,stonnington,-37.834441,144.99496
T20120000593,severe,moreland,-37.73605,144.94571
T20120000601,severe,kingston,-37.979152,145.06599
T20120000673,severe,maribyrnong,-37.800366,144.904842
T20120000672,severe,hume,-37.693794,144.90881
T20120000665,severe,brimbank,-37.752585,144.777699
T20120000664,severe,yarra,-37.781727,144.970146
T20120000623,severe,moonee valley,-37.744628,144.910082
T20120000646,severe,melbourne,-37.818357,144.956629
T20120000648,severe,brimbank,-37.775225,144.829058
T20120000632,severe,whitehorse,-37.849965,145.106119
T20120000761,severe,cardinia,-38.079531,145.43401
T20120000768,severe,kingston,-38.000657,145.108306
T20120000779,severe,whitehorse,-37.835527,145.179761
T20120000782,severe,kingston,-37.941053,145.122167
T20120000783,severe,monash,-37.9094,145.141413
T20120000727,severe,brimbank,-37.728163,144.802444
T20120000798,severe,boroondara,-37.804988,145.061719
T20120000730,severe,hume,-37.65072,144.896331
T20120000736,severe,monash,-37.914358,145.126865
T20120000740,severe,knox,-37.900596,145.219586
