LGA_NAME,geometry
alpine,"POLYGON ((147.32088127695263 -37.02309552488349, 147.34999007050072 -37.036402667238804, 147.38745993503522 -37.03014003012564, 147.3922614423613 -37.04555679060002, 147.38052089784364 -37.09869885002267, 147.35921839948998 -37.11432857845855, 147.31640281668632 -37.11385058511612, 147.33149149940652 -37.15301814654272, 147.3845221443396 -37.203903711008515, 147.33697994355174 -37.27553255775307, 146.82632769787503 -37.20374877799528, 146.7634473652536 -37.146007962861255, 146.71757264143778 -37.15876020947559, 146.65153264705663 -37.12003441425286, 146.67395843414133 -37.11287742589492, 146.67233232966174 -36.98276124494129, 146.64360140000628 -36.93514777247501, 146.6439078875752 -36.869769382079, 146.62570764212987 -36.85657292062688, 146.64255983442646 -36.81280729161201, 146.5664585953205 -36.74111876544303, 146.63087371144476 -36.68276054989728, 146.61552759740755 -36.65306195855368, 146.62182880897754 -36.6305101788812, 146.6704766081163 -36.56886695214004, 146.66155033479933 -36.5237012211763, 146.63434313939 -36.522522989123395, 146.64826137074823 -36.49099174996526, 146.80352964052346 -36.44663523139893, 146.88147599691973 -36.45430031736966, 146.93476880360885 -36.40829730113336, 147.01757157197036 -36.392681557366515, 147.03825232831392 -36.395195158969344, 147.04419470748192 -36.39405561941812, 147.04571003714472 -36.39482966953949, 147.04615519325276 -36.42732821978494, 147.12081038138462 -36.42497756551358, 147.12576460762685 -36.44997238605802, 147.1040186964082 -36.49027609464384, 147.1181349929739 -36.49985488579374, 147.12596028557968 -36.551532846732265, 147.17037504458733 -36.582976030365124, 147.17354933740646 -36.638979450973125, 147.214635576863 -36.67090112435951, 147.26653960796278 -36.67412396840733, 147.3147583666297 -36.702645202342595, 147.31355790372953 -36.72842132241572, 147.2904517964032 -36.73777828067768, 147.29067626308571 -36.76508691087148, 147.2684091750592 -36.77917544923122, 147.29393581715473 -36.80994149141445, 147.28523716660067 -36.82646652084431, 147.33672603769665 -36.82987641487601, 147.3454368018042 -36.86676640579315, 147.29035955637215 -36.90434056174419, 147.26330050850405 -37.006691670298146, 147.32088127695263 -37.02309552488349), (147.2923293596871 -36.874147311703126, 147.2676790577535 -36.84096794957287, 147.24521587115242 -36.84354441784508, 147.24487571241443 -36.88342772307545, 147.2923293596871 -36.874147311703126), (147.196714887594 -37.023086245239284, 147.19145792770294 -36.98789306760664, 147.16709022739403 -36.99085838474087, 147.1501759041784 -36.957730111221416, 147.0969178376995 -37.00217417639918, 147.0611113221713 -36.99784269261639, 147.07443965662586 -37.0173185937661, 147.14442468376834 -36.98578497995735, 147.14449252915713 -37.007450227101536, 147.196714887594 -37.023086245239284))"
ararat,"POLYGON ((142.41911969254195 -37.47343981476275, 142.47801097893785 -37.40092423773103, 142.5163487861413 -37.29321061629747, 142.6011698075459 -37.29288404425036, 142.58143823298582 -37.27064128295774, 142.59704089107342 -37.26218706381893, 142.59587965625283 -37.21875525248249, 142.5427499479831 -37.157366713997014, 142.71708900008412 -37.15739087023156, 142.71705252143641 -37.142788670138884, 142.76485204633227 -37.14188182996123, 142.78387610757773 -37.168832871256555, 142.82399463241708 -37.17188610965957, 142.83969972586726 -37.19185078771848, 142.95398016477642 -37.2077653246525, 142.96128859734648 -37.16702475483861, 143.04891669019764 -37.18973734026002, 143.06694489111345 -37.14735519108694, 143.08372162812185 -37.14864570211074, 143.18156868758038 -37.18864496830717, 143.2215899441643 -37.15266650052749, 143.2637659441738 -37.18171017329112, 143.28616303505223 -37.23680276500836, 143.29110351967162 -37.28393981560464, 143.23480836918 -37.2856217121625, 143.22562340790614 -37.31537155178493, 143.19375169282938 -37.321215339873405, 143.20178554805463 -37.35662336058333, 143.24862006946108 -37.36208644348239, 143.2365536994038 -37.38430949288091, 143.25155481810717 -37.39168425984546, 143.19726938214973 -37.426297420738535, 143.1793670227997 -37.52463238125294, 143.19278179930032 -37.526433520082676, 143.090448199172 -37.65048673561967, 143.06057928789025 -37.718208434225836, 143.18022969570384 -37.731457381577236, 143.16559263199997 -37.76519952489149, 143.10816069374457 -37.77876065748082, 143.0952095321805 -37.8185378469382, 143.10582903187546 -37.83348659167403, 143.03145988375036 -37.8145111070548, 143.03526722916936 -37.79276394715182, 143.01307087162226 -37.786895790776, 143.00724648268707 -37.7655386512941, 142.87922595238254 -37.83644861204191, 142.87947483299996 -37.808434055885805, 142.8614115303598 -37.806438950794664, 142.84222995459297 -37.807851534659015, 142.83969223968654 -37.82212585259486, 142.75762598198733 -37.81274628265999, 142.70123495981485 -37.8349062194596, 142.66485292866525 -37.83007612628517, 142.67324581645622 -37.816547361697076, 142.61472018732562 -37.81030435821805, 142.59016700184475 -37.765104137503165, 142.61877665182007 -37.64683491745799, 142.58712072919033 -37.62695999548083, 142.35348649463862 -37.59797072373752, 142.3791051101187 -37.510589783679144, 142.41911969254195 -37.47343981476275))"
ballarat,"POLYGON ((143.84322375621716 -37.67026968255614, 143.83196594636706 -37.618713385520365, 143.75696403680607 -37.59446283460496, 143.70721845408033 -37.557865724230794, 143.66219499743255 -37.57239669048035, 143.6685495787081 -37.538434910670745, 143.59500480354376 -37.52725409597823, 143.62027898446408 -37.47376038323348, 143.64808683371365 -37.321512760036875, 143.86880260816935 -37.348237643191595, 143.8433653422357 -37.43115415808465, 143.85772436658155 -37.43296349501145, 143.84962093657717 -37.46685729270505, 143.93770151352683 -37.47543672339028, 143.93193430649765 -37.53507666839047, 143.95075461373847 -37.55984196775109, 143.90479869141095 -37.58237750094548, 143.89584280041976 -37.60753970252822, 143.91435648739724 -37.64522022294598, 143.9357288681603 -37.65042966634768, 143.91387492895777 -37.660256072008046, 143.94862095361964 -37.67311267131486, 143.93814888978312 -37.70910434686523, 143.89776796207968 -37.71628166432301, 143.87226652731482 -37.708402554644465, 143.84322375621716 -37.67026968255614))"
banyule,"POLYGON ((145.07847630207908 -37.763912725013796, 145.05483563386517 -37.78507926351941, 145.02783547786277 -37.76380855753328, 145.03814169300543 -37.72773146201647, 145.07453328397662 -37.716116903445396, 145.05132559583205 -37.7083765138016, 145.06052201976547 -37.69438857134662, 145.14371057968546 -37.68260634200618, 145.12802881124102 -37.702289072045836, 145.13563280070827 -37.740841183810616, 145.08245618075844 -37.751380040209874, 145.07847630207908 -37.763912725013796))"
bass coast,"POLYGON ((145.33295293264598 -38.49949869719328, 145.3376956414932 -38.493400113487574, 145.34597780028326 -38.5087446891604, 145.34038455297807 -38.5025614017315, 145.33295293264598 -38.49949869719328))"
bass coast,"POLYGON ((145.50141841939373 -38.57220622046951, 145.43554666987006 -38.53937822962871, 145.37248794439301 -38.53672882018685, 145.3631575077794 -38.5215209534406, 145.4180225419399 -38.51344741923892, 145.43459721926416 -38.493504771281884, 145.4177854637539 -38.471484037965936, 145.43389442245768 -38.43134795385246, 145.41645129131862 -38.40693964247741, 145.5131165781809 -38.41592927234031, 145.53420349142084 -38.39865504372463, 145.55221654569803 -38.35082148370564, 145.51586443255087 -38.33823272505801, 145.51558926492513 -38.31780126091314, 145.54180991826198 -38.30936392771472, 145.54578657961648 -38.29132238688518, 145.5936172517611 -38.33008290951221, 145.6947776726434 -38.37595718799218, 145.67621804506348 -38.48754469235225, 145.6958275028953 -38.502176386840596, 145.69869597044615 -38.53624372225369, 145.71839754071814 -38.53821596367297, 145.72104854284518 -38.5244226567781, 145.76193353595798 -38.538455660789694, 145.75715354458265 -38.566213415616936, 145.77571367508446 -38.567922188957475, 145.76797483527855 -38.60386629262222, 145.81645772602286 -38.58352396597764, 145.81807753860738 -38.64456475946667, 145.7133406211675 -38.6455371749667, 145.65699939659336 -38.67681852713806, 145.60678596708053 -38.680996486592306, 145.56020395582905 -38.65128549510779, 145.50141841939373 -38.57220622046951))"
bass coast,"POLYGON ((145.20651812591524 -38.51921302850939, 145.1703074694837 -38.509215314938984, 145.10823708338285 -38.519519583712686, 145.14561162538152 -38.5047345962033, 145.16590065918928 -38.46528860536604, 145.20080122460502 -38.45086867769588, 145.29032656878857 -38.4501792639166, 145.2983787672155 -38.451455354485894, 145.30263941619467 -38.453800624797445, 145.27916594029458 -38.45439443316453, 145.27901075995055 -38.45769208317386, 145.27502345058147 -38.45837597290029, 145.27333475064577 -38.46046693279543, 145.31041039704655 -38.46061075538132, 145.2907216562831 -38.480638128130174, 145.3054875401136 -38.48547110118959, 145.29724829920258 -38.50650433274317, 145.36264523396943 -38.51183240834561, 145.34071154418297 -38.53554720795561, 145.3642775139654 -38.55336687971327, 145.3518057746108 -38.56725125892491, 145.3165394397533 -38.52434796219828, 145.2706372151239 -38.50483665787843, 145.2401260512965 -38.507100560769416, 145.2216214060244 -38.52989636662277, 145.20651812591524 -38.51921302850939))"
baw baw,"POLYGON ((145.76265259783727 -37.991752734474076, 145.73107263709036 -37.95882040200983, 145.76950869830858 -37.880886320276524, 145.81762076361983 -37.857738117584375, 145.79544280935903 -37.8147802467244, 145.84471163980817 -37.797612586157484, 145.926383619033 -37.829632061247416, 145.91747556055392 -37.777510394278416, 145.94361821526158 -37.758214644048095, 146.03863857402135 -37.77444152904312, 146.08910270671885 -37.75378137459006, 146.13376722105943 -37.788012667066354, 146.16323061871174 -37.74733589296841, 146.13555415772046 -37.702064562659245, 146.12975461796623 -37.64805996089666, 146.16482351086057 -37.622984599305674, 146.1588199214604 -37.60075636372638, 146.18676853708544 -37.579987004644046, 146.25009386273123 -37.61038947748751, 146.29879673265577 -37.59106375895527, 146.36791142736078 -37.62941455930646, 146.39405749486974 -37.60399375108488, 146.44366462744185 -37.612114478821, 146.49073200963088 -37.644101959527795, 146.515959658221 -37.6787681516284, 146.50234545712834 -37.690814432687695, 146.47331844309585 -37.99467918942366, 146.51468655825192 -37.983581589440725, 146.52405894900494 -37.9636582800167, 146.5638064697026 -37.98395813311664, 146.58726464634452 -37.978088024837874, 146.56952584284076 -38.058071751006686, 146.53478154100586 -38.05695676539939, 146.52782864597708 -38.084012999047886, 146.47572370607426 -38.07529524310462, 146.47897166910997 -38.10378242352376, 146.42440642846637 -38.096544083417164, 146.43384060281969 -38.121773339275215, 146.39497378156105 -38.13882347649377, 146.36135356818963 -38.10707718480423, 146.328596454386 -38.11980930845911, 146.29036352814487 -38.11053486857774, 146.2559339722756 -38.14331256624315, 146.2482775311677 -38.17247945486011, 146.2233292728898 -38.17787073505828, 146.21604906728905 -38.21916792777873, 146.24685191530574 -38.23263463612741, 146.29138525215774 -38.22717669037571, 146.25814726049418 -38.26500731815918, 146.2520907535309 -38.298969129922874, 146.23018984467922 -38.32172268645162, 146.20379635186683 -38.317067575483264, 146.18923623225476 -38.34387178557969, 146.12268203706125 -38.359986038804315, 146.06394470420372 -38.310597360212995, 146.03433598392704 -38.33176798318771, 145.96756678900005 -38.31187291021701, 145.9653621470179 -38.3236064691295, 145.88840204202532 -38.33682823464594, 145.88493823294775 -38.316937639273654, 145.82769048961984 -38.32043463417212, 145.83115135097597 -38.30346862231659, 145.800466331896 -38.26435328487085, 145.7353999871593 -38.27455261927109, 145.73636147293468 -38.24896264118226, 145.71253177680205 -38.25174799449606, 145.71650748870474 -38.21167822653314, 145.7029983059952 -38.19493449146508, 145.76295366236732 -38.10888306722112, 145.73927116948948 -38.10030270347277, 145.75444830925827 -38.07918530442829, 145.76265259783727 -37.991752734474076), (146.27830406288672 -37.833099567960915, 146.25116693228006 -37.835547204977125, 146.23269431950345 -37.85233314772286, 146.27853960778907 -37.84211750603462, 146.27830406288672 -37.833099567960915))"
bayside,"POLYGON ((145.00866029185238 -37.95944396142999, 144.98021550149545 -37.90739041316023, 144.9922703300263 -37.88326058983607, 145.02599364509294 -37.90215209426445, 145.0517018723395 -37.98681002455303, 145.03057068510304 -37.99527800315409, 145.00866029185238 -37.95944396142999))"
benalla,"POLYGON ((146.03011857875228 -36.87730463675405, 146.00911418494468 -36.853349655075384, 145.96369626989016 -36.87667129193186, 145.9537782483919 -36.90476578139336, 145.929066652533 -36.90460347960536, 145.92484519086787 -36.92575030943525, 145.8923979104798 -36.888252576854, 145.86073840684148 -36.878563084511164, 145.87241821366342 -36.79990510484959, 145.82997426222812 -36.78633333170936, 145.81233143079888 -36.73548127011688, 145.84515607469066 -36.651276001935344, 145.85536846218935 -36.56828377213674, 145.8194424986489 -36.56340746952321, 145.82332106006345 -36.45402676909746, 145.77543997905155 -36.44374057559735, 145.7984538211497 -36.29895664631148, 146.0309438532344 -36.298995493092704, 146.03690911713383 -36.25505015324127, 146.13143046175568 -36.255108580129345, 146.13144974859853 -36.28341608031441, 146.14712658428687 -36.299191521562605, 146.18105573895346 -36.29748340403502, 146.1809815444774 -36.33760273428967, 146.1970525322322 -36.334254995445974, 146.2042208176626 -36.364593096168285, 146.21946746600977 -36.3571518672391, 146.20455217237065 -36.4112657164947, 146.22465475484708 -36.448939158214, 146.17587124014563 -36.47288555479042, 146.2098143312284 -36.50269059747162, 146.19525458133583 -36.5229600065343, 146.194948434108 -36.587559146928264, 146.22533555774322 -36.59963074923632, 146.2127705535733 -36.654843508668996, 146.2545028666536 -36.7432777323044, 146.2397367552458 -36.777194751435935, 146.2433469038585 -36.872013272308855, 146.28045067162932 -36.92504168537954, 146.15286659711015 -36.88790838577307, 146.15060642904893 -36.87412703551957, 146.12493244214363 -36.88453995370907, 146.1092392667891 -36.86657296244816, 146.06828467411353 -36.86207491943331, 146.05962198039853 -36.90778790909468, 146.03011857875228 -36.87730463675405))"
